"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"221",30.2,-97.77,30.26,-97.72,23,971.373121653458,1032.03853426798,3,2,"3-2"
"222",30.2,-97.77,30.27,-97.76,13,1005.18613758991,1032.03853426798,3,1,"3-1"
"223",30.2,-97.77,30.27,-97.75,208,277.629227185794,1032.03853426798,3,1,"3-1"
"224",30.2,-97.77,30.27,-97.74,381,670.185417296239,1032.03853426798,3,2,"3-2"
"225",30.2,-97.77,30.27,-97.73,24,352.077191785239,1032.03853426798,3,2,"3-2"
"226",30.2,-97.77,30.28,-97.75,10,1217.33842955882,1032.03853426798,3,1,"3-1"
"227",30.2,-97.77,30.28,-97.74,48,485.70707727731,1032.03853426798,3,2,"3-2"
"228",30.2,-97.77,30.28,-97.72,10,386.520409501231,1032.03853426798,3,2,"3-2"
"229",30.2,-97.77,30.29,-97.75,23,923.614956567319,1032.03853426798,3,1,"3-1"
"230",30.2,-97.77,30.29,-97.74,24,187.746352012044,1032.03853426798,3,2,"3-2"
"231",30.2,-97.77,30.3,-97.74,12,152.746366151154,1032.03853426798,3,2,"3-2"
"232",30.2,-97.76,30.19,-97.77,12,499.55325173355,1362.21905028859,2,1,"2-1"
"233",30.2,-97.76,30.2,-97.77,14,1032.03853426798,1362.21905028859,2,1,"2-1"
"234",30.2,-97.76,30.2,-97.76,15,1362.21905028859,1362.21905028859,2,1,"2-1"
"235",30.2,-97.76,30.2,-97.72,11,2293.43576408826,1362.21905028859,2,2,"2-2"
"236",30.2,-97.76,30.2,-97.67,17,3878.94046085171,1362.21905028859,2,3,"2-3"
"237",30.2,-97.76,30.22,-97.75,11,1472.79105153058,1362.21905028859,2,1,"2-1"
"238",30.2,-97.76,30.22,-97.74,19,1068.85449395561,1362.21905028859,2,2,"2-2"
"239",30.2,-97.76,30.26,-97.75,10,309.441545205615,1362.21905028859,3,1,"3-1"
"240",30.2,-97.76,30.27,-97.75,20,277.629227185794,1362.21905028859,3,1,"3-1"
"241",30.2,-97.76,30.27,-97.74,25,670.185417296239,1362.21905028859,3,2,"3-2"
"242",30.2,-97.76,30.29,-97.71,10,1127.73437914928,1362.21905028859,3,2,"3-2"
"243",30.2,-97.75,30.2,-97.76,12,1362.21905028859,825.285764078269,2,1,"2-1"
"244",30.2,-97.75,30.2,-97.74,16,2540.9022476832,825.285764078269,2,2,"2-2"
"245",30.2,-97.75,30.25,-97.75,13,605.199680404157,825.285764078269,3,1,"3-1"
"246",30.2,-97.75,30.26,-97.74,22,784.850728204676,825.285764078269,3,2,"3-2"
"247",30.2,-97.75,30.27,-97.74,12,670.185417296239,825.285764078269,3,2,"3-2"
"248",30.2,-97.74,30.2,-97.75,14,825.285764078269,2540.9022476832,2,1,"2-1"
"249",30.2,-97.74,30.2,-97.67,12,3878.94046085171,2540.9022476832,2,3,"2-3"
"250",30.2,-97.73,30.2,-97.67,15,3878.94046085171,3335.55497841943,2,3,"2-3"
"251",30.2,-97.73,30.26,-97.74,18,784.850728204676,3335.55497841943,3,2,"3-2"
"252",30.2,-97.73,30.27,-97.75,28,277.629227185794,3335.55497841943,3,1,"3-1"
"253",30.2,-97.73,30.27,-97.74,27,670.185417296239,3335.55497841943,3,2,"3-2"
"254",30.2,-97.72,30.2,-97.76,23,1362.21905028859,2293.43576408826,2,1,"2-1"
"255",30.2,-97.72,30.2,-97.67,12,3878.94046085171,2293.43576408826,2,3,"2-3"
"256",30.2,-97.72,30.21,-97.79,29,866.868795290751,2293.43576408826,2,1,"2-1"
