veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
30.94,-97.51,853,818,853,818
30.95,-97.51,2,1,2,1
30.99,-103.66,2,2,2,2
31,-103.69,0,2,0,2
31.03,-104.86,1,1,1,1
31.03,-104.85,1,1,1,1
31.04,-104.83,1,1,1,1
31.04,-104.82,14,12,14,12
31.05,-104.61,2,1,2,1
31.07,-98.19,1,1,1,1
31.07,-98.18,0,0,0,0
31.08,-104.06,0,0,0,0
31.09,-104.03,0,0,0,0
31.12,-97.35,22,27,22,27
31.19,-105.61,0,1,0,1
31.19,-105.43,2,2,2,2
31.21,-105.49,0,1,0,1
31.22,-98.39,1,1,1,1
31.39,-97.21,4,4,4,4
31.45,-98.57,1,1,1,1
31.51,-106.12,1,1,1,1
31.51,-97.2,70,68,70,68
31.51,-97.19,2,2,2,2
31.51,-97.18,10,11,10,11
31.51,-97.15,1,2,1,2
31.52,-106.13,5,6,5,6
31.66,-106.24,11,9,11,9
31.67,-98.79,2,0,2,0
31.68,-106.26,0,1,0,1
31.7,-99,0,0,0,0
31.73,-98.99,3,2,3,2
31.74,-98.95,3,3,3,3
31.75,-106.34,1,2,1,2
31.78,-106.45,0,0,0,0
31.84,-106.57,11,11,11,11
31.84,-99.42,1,1,1,1
31.9,-97.09,6,6,6,6
31.93,-97.1,1,1,1,1
31.96,-110.35,2,2,2,2
31.96,-110.34,2,2,2,2
31.96,-106.58,2,2,2,2
31.98,-110.54,1,0,1,0
31.99,-110.6,0,1,0,1
32,-110.69,1,1,1,1
32,-106.59,0,0,0,0
32,-106.58,0,0,0,0
32.01,-97.1,5,4,5,4
32.03,-110.72,1,1,1,1
32.06,-110.08,3,3,3,3
32.07,-106.61,0,0,0,0
32.13,-110.87,7,2,7,2
32.13,-106.64,4,4,4,4
32.17,-97.13,1,0,1,0
32.18,-109.95,1,0,1,0
32.23,-109.05,1,0,1,0
32.24,-109.09,1,1,1,1
32.24,-107.99,5,5,5,5
32.25,-107.12,1,0,1,0
32.26,-109.84,2,3,2,3
32.26,-109.21,1,1,1,1
32.26,-107.01,1,1,1,1
32.27,-109.85,1,2,1,2
32.27,-109.84,1,1,1,1
32.27,-109.24,0,0,0,0
32.27,-107.75,0,0,0,0
32.27,-107.73,0,2,0,2
32.28,-106.87,4,3,4,3
32.29,-106.79,4,1,4,1
32.34,-108.7,8,6,8,6
32.35,-109.74,0,1,0,1
32.35,-108.74,6,10,6,10
32.36,-109.68,1,1,1,1
32.4,-99.39,0,0,0,0
32.4,-99.38,1,2,1,2
32.43,-99.58,2,2,2,2
32.44,-111.18,0,0,0,0
32.44,-98.69,1,0,1,0
32.45,-100.44,15,9,15,9
32.46,-99.87,4,5,4,5
32.46,-99.86,42,21,42,21
32.46,-99.85,0,0,0,0
32.47,-100.6,0,0,0,0
32.48,-99.7,2,2,2,2
32.49,-100.21,0,0,0,0
32.49,-99.74,7,7,7,7
32.49,-99.72,9,8,9,8
32.63,-100.76,2,2,2,2
32.7,-100.87,1,2,1,2
32.73,-111.55,0,1,0,1
32.74,-97.77,0,0,0,0
32.81,-111.67,26,19,26,19
32.82,-111.67,13,10,13,10
32.95,-111.71,0,0,0,0
33.04,-111.78,1,2,1,2
33.06,-97.48,2,2,2,2
33.19,-101.38,1,3,1,3
33.21,-101.42,0,1,0,1
33.28,-111.96,9,6,9,6
33.44,-101.67,0,0,0,0
33.46,-112.78,2,2,2,2
33.47,-112.36,1,2,1,2
33.52,-113.07,2,1,2,1
33.53,-101.88,1,1,1,1
33.59,-101.85,4,4,4,4
33.6,-114.52,8,8,8,8
33.61,-114.73,3,3,3,3
33.61,-114.61,4,3,4,3
33.61,-114.6,10,10,10,10
33.61,-114.47,3,3,3,3
33.61,-113.65,1,2,1,2
33.62,-114.45,1,1,1,1
33.62,-114.44,4,3,4,3
33.63,-113.77,4,5,4,5
33.66,-114.24,2,1,2,1
33.67,-115.65,1,0,1,0
33.67,-114.2,1,0,1,0
33.71,-115.34,0,0,0,0
33.72,-116.17,3,3,3,3
33.8,-116.38,2,2,2,2
33.8,-102.15,0,0,0,0
33.82,-116.4,5,7,5,7
33.88,-117.22,6,12,6,12
33.9,-116.55,0,0,0,0
33.91,-117.17,2,2,2,2
33.92,-118.33,6,5,6,5
33.92,-116.95,1,2,1,2
33.92,-116.9,0,1,0,1
33.93,-116.95,0,1,0,1
33.93,-98.52,5,7,5,7
33.94,-98.52,0,1,0,1
33.95,-98.6,2,2,2,2
34.01,-117.08,0,1,0,1
34.02,-117.46,0,0,0,0
34.02,-117.34,1,1,1,1
34.11,-117.54,2,2,2,2
34.38,-118.57,0,0,0,0
34.39,-118.57,0,0,0,0
34.41,-103.35,5,1,5,1
34.42,-103.63,1,1,1,1
34.43,-103.84,1,1,1,1
34.44,-104.1,1,0,1,0
34.44,-100.23,0,2,0,2
34.45,-103.88,0,0,0,0
34.73,-114.32,5,6,5,6
34.8,-115.32,0,0,0,0
34.81,-115.22,2,2,2,2
34.82,-118.89,6,2,6,2
34.82,-118.88,1,1,1,1
34.83,-118.87,1,1,1,1
34.83,-116.69,0,0,0,0
34.85,-117.09,2,2,2,2
34.85,-114.63,4,3,4,3
34.85,-114.62,1,1,1,1
34.86,-117.09,4,7,4,7
34.86,-117.08,7,5,7,5
34.88,-117.09,1,1,1,1
34.89,-117,2,2,2,2
34.9,-117.01,1,1,1,1
34.91,-110.21,0,0,0,0
34.94,-104.64,0,0,0,0
34.95,-104.64,2,2,2,2
34.96,-117.43,1,0,1,0
34.98,-107.17,0,0,0,0
34.99,-118.95,0,0,0,0
35,-106.03,2,1,2,1
35,-105.85,2,2,2,2
35.01,-117.72,5,4,5,4
35.01,-106.07,3,2,3,2
35.01,-106.06,8,6,8,6
35.01,-106.04,0,2,0,2
35.01,-105.88,0,0,0,0
35.01,-105.62,0,0,0,0
35.02,-110.68,1,3,1,3
35.02,-110.67,0,0,0,0
35.03,-116.47,4,2,4,2
35.03,-110.69,0,0,0,0
